Plant Code,Plant Name,Utility Name,Age of Oldest Unit at Plant in Years,Prime Mover for Generator 1,Energy Source 1 for Generator 1,Nameplate capacity in MW,2018 Net Generation in MWh,2018 Electric Fuel Consumption in MMBtu,Implied 2018 Electrical Efficiency,Latitude,Longitude,State,Zip,County,NERC Region,Balancing Authority Code
2,Bankhead Dam,Alabama Power Co,56,HY,WAT,53.9,-392,0,0%,33.458665,-87.356823,AL,35476,Tuscaloosa,SERC,SOCO
3,Barry,Alabama Power Co,65,ST,NG,2569.5,10464916,85184794,42%,31.0069,-88.0103,AL,36512,Mobile,SERC,SOCO
4,Walter Bouldin Dam,Alabama Power Co,52,HY,WAT,225,687921,6268336,37%,32.583889,-86.283056,AL,36092,Elmore,SERC,SOCO
7,Gadsden,Alabama Power Co,70,ST,NG,138,188877,2195375,29%,34.0128,-85.9708,AL,35903,Etowah,SERC,SOCO
8,Gorgas,Alabama Power Co,47,ST,BIT,1166.7,5497888,53473953,35%,33.644344,-87.196486,AL,35580,Walker,SERC,SOCO
9,Copper,El Paso Electric Co,39,GT,NG,86.9,47287,780894,21%,31.7569,-106.375,TX,79915,El Paso,WECC,EPE
10,Greene County,Alabama Power Co,54,ST,NG,1288.4,1173091,12893389,31%,32.6017,-87.7811,AL,36732,Greene,SERC,SOCO
11,H Neely Henry Dam,Alabama Power Co,53,HY,WAT,72.9,252836,2303841,37%,33.7845,-86.0524,AL,36271,Calhoun,SERC,SOCO
12,Holt Dam,Alabama Power Co,51,HY,WAT,46.9,168817,1538259,37%,33.2553,-87.4495,AL,35476,Tuscaloosa,SERC,SOCO
13,Jordan Dam,Alabama Power Co,90,HY,WAT,100,435727,3970342,37%,32.6189,-86.2548,AL,36092,Elmore,SERC,SOCO
14,Logan Martin Dam,Alabama Power Co,55,HY,WAT,128.1,445383,4058329,37%,33.425878,-86.337547,AL,35178,Talladega,SERC,SOCO
15,Lay Dam,Alabama Power Co,51,HY,WAT,177,685072,6242375,37%,32.9633,-86.5187,AL,35045,Chilton,SERC,SOCO
16,Martin Dam,Alabama Power Co,92,HY,WAT,210.6,348530,3175805,37%,32.680394,-85.911442,AL,36078,Elmore,SERC,SOCO
17,Mitchell Dam,Alabama Power Co,70,HY,WAT,170,543305,4950595,37%,32.806025,-86.444892,AL,36091,Coosa,SERC,SOCO
18,Lewis Smith Dam,Alabama Power Co,58,HY,WAT,181,237885,2167608,37%,33.9406,-87.1077,AL,35501,Walker,SERC,SOCO
19,Thurlow Dam,Alabama Power Co,88,HY,WAT,91,209097,1905291,37%,32.535436,-85.887614,AL,36078,Elmore,SERC,SOCO
20,Weiss Dam,Alabama Power Co,57,HY,WAT,87.6,280944,2559962,37%,34.172142,-85.753806,AL,35983,Cherokee,SERC,SOCO
21,Yates Dam,Alabama Power Co,91,HY,WAT,50.5,142992,1302944,37%,32.5743,-85.8901,AL,36078,Elmore,SERC,SOCO
26,E C Gaston,Alabama Power Co,59,ST,NG,2034,6087254,63507419,33%,33.244211,-86.458056,AL,35186,Shelby,SERC,SOCO
30,Madelia,City of Madelia - (MN),18,IC,NG,11.8,-206,153,-459%,44.0501,-94.4178,MN,56062,Watonwan,MRO,MISO
34,Rollins,Nevada Irrigation District,39,HY,WAT,12.1,61318,558730,37%,39.134259,-120.953341,CA,95713,Placer,WECC,CISO
38,Millers Ferry,USCE-Mobile District,49,HY,WAT,101.1,287505,2619745,37%,32.100881,-87.399767,AL,36726,Wilcox,SERC,SOCO
46,Browns Ferry,Tennessee Valley Authority,45,ST,NUC,3494,25397781,0,0%,34.7042,-87.1189,AL,35609,Limestone,SERC,TVA
47,Colbert,Tennessee Valley Authority,47,GT,NG,476,68000,893601,26%,34.7439,-87.8486,AL,35674,Colbert,SERC,TVA
48,Guntersville,Tennessee Valley Authority,80,HY,WAT,115.2,733655,6685065,37%,34.421272,-86.393931,AL,35976,Marshall,SERC,TVA
49,Wheeler Dam,Tennessee Valley Authority,83,HY,WAT,404,1623825,14796294,37%,34.8069,-87.3819,AL,35672,Lawrence,SERC,TVA
50,Widows Creek,Tennessee Valley Authority,#N/A,#N/A,#N/A,0,0,0,0%,34.883022,-85.755253,AL,35772,Jackson,SERC,TVA
51,Dolet Hills,Cleco Power LLC,33,ST,LIG,720.7,1483069,18347238,28%,32.030556,-93.569167,LA,71052,DeSoto,SERC,MISO
